,0
184,"Some of the best food in Central Illinois.  We make the 45 minute trip about six or seven times a year just to eat here.  Ribs, chicken, pulled pork, salmon, burnt ends--it's all good, but their brisket is some of the best I've had anywhere....More"
185,"Went to the location in downtown Urbana on a Saturday/football game day. We had 6 in our party, and the place is pretty small, so we had to wait quite a while for a table. The wait was worth it, though. I had the best...More"
186,"First- expect your wait to be LONG. Because this place is popular (even though there are much better BBQ places in town). The portion sizes are literally half of what you get everywhere else, for more money. The food is good, but not amazing or...More"
187,Our food was excellent - from the salmon to the ribs. Our service was good - no complaints from this family!
188,"Had the 3 meat sampler.  Brisket and chicken were good and moist.  The ribs, not so much.  Twice baked potato casserole was great, as were the beans.  Portions could have been larger for the price."
189,"Stopped here on our way from Chicago to Missouri - great decision! Solid BBQ, nice ambiance, fast & attentive service. Had the burnt ends sandwich - good choice. Crispy fries, tasty BBQ sauce choices. Made it just before the lunch rush on a Thursday -...More"
190,"Good BBQ.  Had the sampler of 3 meats.  Pulled pork was good.  Brisket was moist.  Ribs were good.  You get two sauces, one was a medium-heat vinegar based, good.  Pit beans were good, a one bean dish.  Red cabbage slaw was ok, helps as a...More"
191,"I think this place is clean and their rib tastes good. However, their price is a bit higher than similar rib houses, such as porgy's."
192,We loved it.  BBQ brunt ends were so tasty and tender.  The Cuban sandwich was excellent.  Server wonderful.
193,Nice atmosphere but you usually have to wait in line for a seat. If you go make sure and go to the front and write your name on the chalkboard or you will never get a seat.
194,The food is awesome and service is great.  I have been there and tried different dishes they are all really good.
195,"We enjoy BD a lot, but we were unwilling to wait 30 minutes for a seat. Now with two in town we go weekly. Best rib tips in town and the sauces are superb. The Urbana site maintains its small bar like feel and terrific...More"
196,"The food is great, they usually have interesting beers on tap and the service is good. Sometimes it can get a little crowded but it's always worth the wait. The daily specials are always just a little more delicious (such as the salmon) but you...More"
197,Get there early and order the burnt ends.  All the sides are good and it's hard to decide.   The potatoes are delicious.   Enjoy!
198,"We have been here several times. We've never had anything we didn't like. It is impossible to pick a favorite sauce. All the appetizers are delicious, too."
199,"Wow-really great food! Little hole in the wall place, with lots of rules (they don't seat incomplete parties) and not the nicest or brightest servers, but amazing food. On our way out, there was a line to get in! If you're in the area stop...More"
200,I haven't eaten here often since it is difficult to get into. I usually get take out for that reason. Love the peach bbq sauce. There are many sauces though.
201,"While road tripping through IL, it just so happened we needed to stop near Champaign-Urbana...which led us to this small inconspicuous joint (the Urbana location). We had no idea what a treat was in store for us. It seemed slow when we arrive, but it...More"
202,Good food.  Good atmosphere.  Good service.  Great place with great food. Enjoyed the entire experience. Seems like a college experience but local clientele also.
203,"The food is delicious and the staff is friendly.  However, if you are starving do NOT go to this place during lunch or dinner since is small location and they run out of food quickly.  Also, the place is crowded since is popular."
204,"You have an excellent selection of beers, smoky barbequed food is delicious, loved the smoked almonds and burnt ends!"
205,"You had me at ""Black Dog""! Why? Our family has 3 dogs...their names are White Dog, Brown Dog, and you guessed it, Black Dog! We were passing through and we had to stop! We arrived around 2pm. There was a small wait, but we got...More"
206,"Tip number one: get there either at 11 a.m. or at 5 p.m. The reason? Burnt. Ends. You can order the brisket, the ribs, or any other dish and be successfully satisfied. But getting a taste of the burnt ends is what this culinary experience...More"
207,"The BBQ is excellent, as is everything else that I have had there. As others have stated, you need to arrive early, for the burnt ends and the beef brisket. I was early enough on the last trip to have the brisket, superb! As is...More"
208,"We picked up an order here to try them out so that we could avoid waiting in line to be seated. We ordered ahead for convenience and the process was straight forward. We got a flight of sauces to go with our meats, and now...More"
209,"I craved for burnt ends and beef brisket but was disappointed that they were out of burnt ends as early as 5:40pm. If you're craving these, call ahead to check if they have not run out for the day. Ended up getting the beef brisket...More"
210,"Really don't understand the hype with this place. I got a 3 meat combo with pulled pork, ribs, and chicken. Pulled pork was dry, barely any meat on the ribs, and the chicken was just okay. None of the sauces were what I would call...More"
211,"The food was excellent, but the service was not nearly as high quality as their BBQ. There is limited waiting room - you walk in put your name on a dry erase board and wait to be called. Since the experience is really all about...More"
212,Awesome!  The burnt ends were out of this world.  I had the fried catfish sandwich with spicy slaw and Georgia peach sauce!  The Mac and cheese side was great too.  Yum!  My husband had the burnt ends for an appetizer AND a second portion with...More
213,"Black Dog has all the standard types of BBQ fare such as cornbread, Mac n cheese (which is so good that it has to bring down the life expectancy in the surrounding area), and all your typical BBQ meats. You can also get combo platters...More"
214,"The sauce, the ribs, the pork, the beer! It's all fantastic. I have eat BBQ all over the US and a few different styles around the world, and this is still the gold standard for me. I even had their BBQ at my wedding!"
215,"I'm from Texas originally. I was a bit skeptically about anything other than Texas BBQ, but I have to say it's different in a great way. the portions are large and the taste is scrumptious!"
216,"Black Dog is iconic in Champaign, and for good reason - The corn bread is DELICIOUS, love the Pineapple Pepper Margarita, and even though I'm not a huge BBQ fan, their BBQ is delicious! Hands down, the best thing I have had at Black Dog...More"
217,Food was very well done. Lots of variety but it is a small place so timing is important if you don't want to wait. There are a variety of sauces to choose from & I would definitely order the twice baked potato & the beans...More
218,Decided to give this place a try after hearing about it from friends.  Arrived in the early evening and had a short wait about 10 minutes which is not problem. Decided to order some drinks till table was ready. Found out that you could not...More
219,"Small corner restaurant. Best BBQ in town. fastest way to get your food it preordering for pickup. if you want to dine in. be prepared to wait a while, but worth the wait"
220,"I was told by a few different people that this was pretty good bbq. It got my hopes up, but it didn't live up to my expectations. Now nothing was bad, it just wasn't outstanding like it had been built up to be. We started...More"
221,"Fun atmosphere with the great vibe an absolutely outstanding smoked foods and barbecue ! Go for a platter and make sure you try a piece of the small catfish and add a craft beer, absolutely delicious!"
222,"Small place and hard to get into.  If its lunch come early or expect a long wait.  Worth it, though.  Great barbecue and famous for their burnt ends."
223,"I wasn't hungry when I got out of the car but by the time we put our names on the ipad, I was ready.  They said they would call us when our table was available so we went to the bar next door Derailed to...More"
224,"My son is a student at U of I. He recommended we stop here for dinner. The food was acceptable, the micro brews on tap were good, the service was excellent."
225,"The best BBQ place in Urbana for sure. Always new, great beers to try.  If you are in Urbana, you must visit this place!"
226,The food is always quality food. Burnt ends are such a treat and everything after them is always good also. Service is very friendly and have never had a bad or even mediocre visit.
227,"Second time for us taking our university nephew. This will be our go to place every time we come to town. Food outstanding,  bbq very tasty. Good size portions, good bbq sauce options, great sides and beer selection. My preference is for creamy coleslaw but...More"
228,"Homemade barbecue, wonderful sweet potato fries, and an outstanding array of beers.  The food is first rate and so is the service.  
The place is small so groups need to be small."
229,"This was a tasty stop for dinner. Food was very good and service was excellent. Place isn't very big, so we were lucky to go early on a Friday night.  We didn't have to wait."
230,"We dined with our Grandson while visiting the University of Illinois.  Looks like a ""little hole in the wall"" but the atmosphere inside is comfortable and welcoming.  More importantly, the smoked food offered with a variety of BBQ sauces of various heats and flavors is...More"
231,Good food and our waitress was very attentive.  The beef brisket was amazing. And the potato casserole and corn bread are must-haves.
232,"I met a friend here for lunch and was pleasantly surprised by the ambience. It's in a renovated, old brick train depot. The building is charmingly furnished with brick walls and wood floors. The food is terrific and the choices/options are many. Our server, Chance,...More"
233,"We went on a Wednesday night, got there after 7:30, and they were out, or nearly out, of several items, including racks, brisket, and beef ribs (spouse's favorite). I had a combo of catfish and salmon, and they were excellent. The last rack of ribs...More"
234,"I came here with a group of friends during spring break so the restaurant was not that busy. My friends told me there would be long lines otherwise. The food was delicious and the place was pretty small, so I could see why this place...More"
235,"It's small and it gets busy, so if you want a table, be there before they open.

The good:
the parking lot is super close to the restaurant
the burnt ends.  order them and keep your fingers crossed they still have them
the smoked chicken...More"
236,"Black Day is quite easily the best place for BBQ in CU. A cozy place with very nice service and a large variety food (with some exotic items to boot), it more than makes up for being in a non-central location. Portions are reasonable as...More"
237,Food was delicious!  Two locations (one in Urbana) and both seemed to be well attended.  Smelled amazing.  Food did not disappoint.  I would road trip the hour just to eat here.
238,"Black Dog is a fairly small BBQ joint in the Champaign-Urbana area.  Recommended by locals, we decided to go here as opposed to a sushi restaurant.  Good choice.  Three guys attended.  Did not have beer but the root beer was good.  

Food terrific, portions reasonable,...More"
239,We went for lunch and arrived right at 11 because we were told it's hard to get seating and they quickly run out of the burnt ends. We were seated right away but it did fill up quickly even though it was a Thursday afternoon....More
240,"After spending a week in BBQ town aka Memphis, TN I had to make the 6 1/2 hr drive back north just to come to Black Dog Ale. Their BBQ is without a doubt better than, any BBQ place that you can find in Memphis,...More"
241,"I read in an article that this place was one of the top 10 places to eat in Illinois before you die, so I'd say I went it with pretty high expectations. 

The place is very tiny, but I didn't mind. Small joints are fun....More"
242,"It is pretty good BBQ for down state Illinois. But average overall. Waited an hour to get into new, expanded location. Tried to get a beer while we waited. The Bartender was not really sure what beer they had and seemed utterly annoyed when I...More"
243,"My nephew suggested we try this place, and it just proved that he's a genius!  Excellent sauces complimented by the tender meat. A good beer selection and friendly staff round out the black dog. I wish I lived closer!"
244,The food was excellent.  Best BBQ ever.  A choice of sauces from mild to smoking hot.  Good variety of meats.  The seating is VERY limited at this site so it results in some VERY long waits for seating at times.
245,The twice baked potato casserole was amazing! I had the catfish platter with the Carolina red BBQ sauce. GREAT!
246,"If you're visiting and are looking for something local this is the place. It will not disappoint and is worth the wait. 

I have eaten here many times and have had a great experience every single time. The staff are professional and friendly, the space...More"
247,I feel like this place is very overrated.  We didn't have reservations but got seated at the bar right away even though it was Mardi gras Tuesday.  We had the pulled pork and beef brisket.  Both were average meals nothing that screamed come back!  The...More
248,Took our college freshman out for late lunch on a snowy Tuesday! We really enjoyed the combo platters and the sauce flights. Loved the twice baked potato casserole and corn bread too!
249,"THIS is your ultimate order. But really, anything you get is amazing. Keep in mind that burnt tips are only available at certain times - not sure if they vary by location. And they sell out right away"
250,"I would highly recommend!  I had the Beef Brisket w/ the mild bbq sauce, loved the cole slaw on top,  Also the Sweet potato fries!   Topped it off with an adult beverage!  Made for a nice 5 o'clock somewhere early Friday date w/ my hubby!"
251,"As soon as I stepped in the door I knew I was in BBQ heaven. What a great choice of meats. This is something really special. 

My travel mate tried the smoked catfish sandwich and I had the platter. Both were good. I had expected...More"
252,"I think people just like a good line to stand in.  This place is notoriously overcrowded!  The food is good, and I like the ""flight of sauces"" they offer.  But this is mostly a bar.  If you like things in disposable containers, this is definitely...More"
253,"We had a great dinner, great atmosphere, great service. Wonderful place to eat. If you like BBQ you will love the Black Dog!"
254,"Very good got the beef brisket platter with twice baked potatoe, corn bread. Portions are very small."
255,"Had a great experience at Black Dog. It's a small restaurant with plenty of great food options. Great variety of BBQ sauces to chose from, and friendly staff. Come early, because they can sell out of the burnt ends."
256,"They only serve the Cuban on Wednesdays.  You should try to get there before 11:30 or after 1:30 or you might  wait for a half hour or longer.
There is another restaurant they operate under the same name in the Twin city of Champaign, Il....More"
257,"Best local BBQ around Champaign-Urbana. Get there early and you get the burnt ends which are just awesome! Otherwise, expect a waiting line, but well worth it. Nice choice of beers, and nice choice of meats & sides. Would recommend this to anyone that is...More"
258,"So this is my favorite place to eat in CU, their BBQ is influenced by multiple styles and overall is very good and the best BBQ place in town. Depending on what you get it can be a little pricey but considering most of it...More"
259,"A bit expensive, can have long waits, and the food will sometimes take forever. But it's the best place to get BBQ. I get the same thing every time. Pulled pork and beef brisket with their french fries and cinnamon applesauce. My fiancé will go...More"
260,"This place is amazing. Their BBQ is tender and delicious and they have several sauces to try. Plus,  if you get in early enough, you can partake of the awesome burnt ends."
261,"I had the pulled pork and tried the burnt ends. Both were great. Surprisingly, they even had an option for our vegan diner. Good beer selection also."
262,The BBQ here is awesome...along with the service...love all of the sauce choices and the potato dish and cornbread
263,"GREAT BLACK ENDS, IF YOU CAN GET THEM! And Rib Tips are great!! Sides were great. best service!  GOOD"
264,I had the best smoked salmon ever in my life! I mean that's essentially all I can eat and the fish since I don't eat meat. I brag about it all the time!!!!!
265,"Been here many times and it has always been an incredible experiance. You can't go wrong with anything on the menu. It all rocks. Only down fall...get there early if you want the burnt ends, they are amazing and go really fast. Great beer selections...More"
266,I was eager to try Black Dog at its new location. We were seated quickly and had a friendly waiter. I had heard about the popular burnt tips so ordered them. The flavor was good but over half of the serving was fat. I would...More
267,Black Dog is one of my favorite restaurants in Champaign-Urbana. I have never had a bad meal there. The burnt ends are my favorite! Get there as early as possible or they will be gone.
268,"OK, they have a great selection of beer on tap and in bottle, but that is just a sideshow for the real attraction - BBQ.

Unlike many Q places that specialize in a regional style, Black Dog brings the best of Q from around the...More"
269,"Stopped here after a WIS/ILL football game and were very impressed with the bbq.  Tried the burnt ends as we were told by the waitstaff, and they were great!  Chicken and brisket were very good and pulled pork was ok.  Carolina Red sauce was the...More"
270,"Love their BBQ.  The brisket and Smoked Turkey are amazing.  Plenty of choice of sauces.  The twice baked potato casserole is to die for.  The only issue, is they always have a line.  Although, they have just opened a 2nd store in Champaign.  Haven't been...More"
271,"Love everything about this place. Great food, great staff. There is usually a wait, but well worth your time to stick around."
272,"Real authentic southern BBQ.
Nice selection of sauces and the sides are great.
Always an interesting special of the day on the menu."
273,I had read a couple of very positive reviews about this restaurant known for it's barbecue and while visiting our daughter at college decided to check it out. It was a Friday night around 7:00 and it was busy. It's located in an old building...More
274,We are a family of five and I am the sole vegetarian.  Of course my family loves to go to Black Dog and I do too! The grilled cheese and the portobello mushroom  sandwiches are delicious and there are several wonderful sides.
275,"I am a pretty picky eater so when I looked at the menu I didn't see many things that interested me. But I found a burger to try with some mac & cheese and burnt ends. Needless to say, the burger was not ground beef,...More"
276,I'm picky when it comes to BBQ as I am from NC where we take BBQ serious. This BBQ was good. The pork was a little dry. The twice baked potatoes were very good though
277,"you will not be disappointed. been here multiple times and have never left without a happy full stomach. although the burnt ends and briskets and specials go by fast, there are a lot of other great options also. try the bbq sauce shooters to try...More"
278,"I know it's hard to enter this aromatic restaurant and not order bbq. And their bbq is fantastic. But the burgers are actually the best in town. If you do order bbq, I am particularly fond of the pulled pork and the ribs. For a...More"
279,"When it comes to BBQ I am picky....not into the hotter sauces that disguise the taste so finding something to suit me is almost a miracle. Black Dog suits me just fine. Their Georgia Peach sauce is amazing on the smoked catfish, rib tips, brisket,...More"
280,"I've probably eaten at Black Dog 3 dozen times..or more.  Everything is superb (well maybe not the coleslaw), great atmosphere, terrific waitstaff and very reasonable. Great selection of beers on tap and helpful advice to aid in your selection. Whether you go to the new...More"
281,"Black Dog came out if nowhere to dominate local Bbc flavor. We love everything they serve, although their corn bread lacks a little in my opinion. Great, great place if you can get in. Expect a wait but worth it!"
282,"I always get the pulled pork because it's so incredible, especially with the coleslaw and sauce on top. The side dishes are equally great. You can't go wrong with this place. It's always popular but you can order for pickup, too, and bypass the crowd....More"
283,This is an amazing bbq restaurant with a great atmosphere.  One of my families favorite places to get together.
284,The meats and sauces are great.  There is also a nice selection of beers and drinks.  It is just  a pain that it is never easy to get in and there are no reservations.  Also everything is expensive.
285,"Black Dog gets a lot of rave reviews from my more carnivorous friends who enjoy barbecue. As an ovo-lacto-pesci vegetarian (I eat fish), there have been only 2 BBQ dishes I have been able to try - the smoked catfish platter and the fried catfish...More"
286,"The food is wonderful.  I've never had anything I didn't like here.  I don't care for their ""if your whole group isn't here we won't seat you policy"" and they are somewhat rude at times.  Wait times can be very long."
287,I got my first taste of Black Dog when a friend suggested we meet there for lunch. It was a long lunch--the lines at this place are always out the door--but the wait was worthwhile. Even the coleslaw was perfection and I am very fussy...More
288,Visited in July 2015 for a dinner out.  The place is super small but always packed whenever you go but worth the wait in line to get in.  The reason is the food is great! The burnt ends are really good if you can ever...More
289,"My hubs and I ate here before cheering the Badgers on to victory vs the Illinis. Wait went pretty fast, remember to write your name on the board. I had pulled pork sandwich (with Hot Georgia peach BBQ sauce) and French fries,  both delicious. (French...More"
290,"This place is un apologetically true to its original concept and will not move a jota. Want a glass of wine - nope. Eat What's there, Drink beer and whiskey, a Coke is Kind of on the edge. No Desserts After a huge meal of...More"
291,"Great food. Brisket and pulled pork . Do not pass them up.
And the sauces and twice during baked potato take the meal over the tap. Oh. The beer was excellent.
Definitely will return."
292,"Can't beat the food.  Ordered ribs,pulled chicken and brisket for a rehearsal dinner - excellent food. Picking up the order was slow slow and the new building is unmarked. Allow plenty of time for pickup because they are in such high demand."
293,Discovered this place while I was staying in Champaign for work and it was highly recommended from the staff at my hotel. So I decided to check it out one night and boy were they right. The Burnt Ends Pulled Pork is awesome. Can't wait...More
294,"We experienced a very busy Saturday evening after a local college football game. Because of the busyness of the place, it took 30 minutes or so to get seated. There's a nice selection of beers and BBQ meats. We had brisket and ""burnt ends."" The...More"
295,"Friend of mine said this is the one thing I have to do before leaving the area. I first got there, I noticed that you have to sign in on an easel and then one of the staff members would see each other at a...More"
296,Went early on a Saturday night and the place was already packed. We ordered and the food was outstanding. I am a BBQ fanatic and this was as good as I have had. Ribs were tug off the bone and the brisket was juicy and...More
297,"Good service, good food, plenty of choices of BBQ sauces and the ale, beer list is extensive. Place was filling up but we got our food quickly. Wait staff was very friendly and helpful."
298,"Black Dog is a small, locally owned and operated gem of a smokehouse with an excellent changing beer on tap menu and full bar, and a well-prepared and tasty selection of smoked meat and weekly specials.  My personal favorite are the ""Burnt Ends"" in which...More"
299,"We were visiting our son at U of I, and on our first night in town, he took us out to dinner at Black Dog. What a treat! Great BBQ, good selection of craft beers and casual, friendly atmosphere. Mind you, we were 20 years...More"
300,"Absolutely fabulous food with great beer selection.  There is usu. a line with wait time, but for good reason.  Small place, but OH SO GOOD!!"
301,"It is worth the wait! everything has the perfect flavor and spice.  must try the cornbread, fantastic!"
302,"The food here is great with the ribs, cornbread and greens outstanding. Variety of sauces for ribs. New site opening soon. Very friendly Staff."
303,"I tried the cornbread and the chicken salad, liked both, and enjoyed a couple of interesting beers. My companions were more interested in bbq and they were happy too. It's a good menu - there were quite a few things I would have liked to...More"
304,"My wife and I ordered take-out from Black Dog's new Champaign location, just north of the train station in Champaign. We have been to may BBQ establishments including four in Memphis. Black Dog has great BBQ, equal to or surpassing anything we have ever had....More"
305,"It's okay, but have had uneven experiences.  Long waits, dry cornbread (though unique), dry meat...  It just wasn't that good sometimes."
306,"I am a regular to this place now.  And every time I am enjoy the great food and the nice dragon's milk beer!
Expect to wait to be seated almost always.  It worth the waiting.  
Don't miss the pulled pork and the smoke sweet potatoes...More"
307,"The food is a little over priced, for the serving size.  But the taste is worth it. It isn't the only bbq spot but the best in Chambana in my opinion."
308,"Very good BBQ! Unfortunately several items we ordered were already out.  Guess that happens a lot so get there early. There is always a line during prime eating times, but the wait is worth it"
309,"I have not had anything here that I didn't like. From the pork to the cornbread to the Cuban - all of it is absolutely delicious. If you go at peak meal times, you will have to wait and the restaurant is very small."
310,"Urbana, Il is not the first place you thnk of when someone says ""barbeque"" but it should be in the top group with the Black Dog.  I was lucky they had not run out of burnt ends.  Outstanding sandwich! The mix of the burnt ends...More"
311,Love their check in procedure. You write your name and how many in your party.  A table leaves one of the owners or whoever is working walks over to list to see next person or next number of guests matching table/seats available. Boom. You're seated....More
312,"I absolutely love this place! The only drawback is the limited seating, but it is worth the wait. I love the brisket, the sauce has a little bite, but tastes great. The red cabbage cole slaw is super. You can get sandwiches or plates. They...More"
313,"OMG! BUSY, BUSY, BUSY... The BBQ was mouth watering great! We took our 8 year old son for lunch. This place was packed and stayed that way the whole time we where there! Olivia was our waitress and she was kind and helpful! The food...More"
314,"This is one of the best BBQ places we have been to.  Ordered the combo platters to try a variety of meats (brisket, catfish, pulled pork, burnt ends, ribs) and all were excellent. The watiress told us about the burnt ends which we hadn't heard...More"
315,"They came highly recommended by coworkers, and boy were the right!!! Service is excellent, serving size is ABOVE average, and price is good. The only down side could be; if your like my wife and have an anaphylactic reaction to hot peppers like jalapeños, you...More"
316,We had a catering order from the smokehouse with excellent bbq'd chicken and beans. I would love to visit and stay a while to try more of their menu items.
317,"Came for lunch right at 11, line outside wasn't too long. We got the burnt ends as a starter, cuz they run out fast. Gotthepulled pork, beef brisket, turkey, potato salad, and potato casserole. Meat was moist, both potato dishes were good. Totally coming back!"
318,"Came with my family. The place was a bit small so the wait was quite long but it was totally worth it. The decor was quite nice. My mom got the burnt ends which we all fell in love with. We also got pull pork,...More"
319,"The location is small but we were assured the wait would be worth it.  We arrived at 12:30, wrote our name on the dry erase board and had to stand in a small area between door and diners.  We were seated in a reasonable time,...More"
320,A welcome relief from the ordinary travel food. The brisket was amazing and the Texas sauce had just the right zing. Pulled pork was perfect and I highly recommend the double baked potato casserole
321,Recommended you show up right when it opens. Went on a Sunday & it was crowded right at 11. Excellent BBQ pork and burnt ends with Georgia peach BBQ sauce. Was not a fan of their tequila-based bloody mary.
322,"After a lazy morning I wanted to take my partner to Black Dog for lunch since he'd never been there before.   Of course, we had to wait, but that's typical and so worth it.  Our wait was only 20 minutes, which I was extremely happy...More"
323,"Food and service was great! If you like unique beers, and the best bbq food in the area, it's a great place to visit. 

We have been many times, has lots of character, the food is great so unfortunately you might have to wait a...More"
324,"We went out with friends and Black Dog Smoke & Ale House was recommended. This is an extremely small place, when you arrive you put your name and number of people in your party on a list and then you wait. We waited about 30...More"
325,"I lived in Champaign for a few years, and I experienced Black Dog when it was still a local spot.  Now, it is a popular attraction to all that visit Urbana, especially BBQ foodies.  Since then, if you want to eat at the original location,...More"
326,Visited with another married couple for dinner and enjoyed every minute of it! You will more than likely have to wait for some time to be seated since the current location has very limited seating but it will be worth the time you wait! If...More
327,The food was okay although there was fat in my pulled pork and my husband didn't like the coleslaw.  But it doesn't matter how good the food is if you are feeling under assault by the wait staff and other personnel. They couldn't have been...More
328,"Undoubtedly the best BBQ in Champaign-Urbana and most likely the surrounding area too.  Always worth the wait, don't plan on popping in and out in an hour.  I have been coming here since they opened (and now with a second location) and they have never...More"
329,We were staying the night in Urbana and found this place on Trip Advisor and it did not disappoint! We got there early just in time for the next round of burnt ends and they were fabulous. We tried a little bit of everything and...More
330,"Awesome.  Food, service, atmosphere. 
Get there early or plan on a wait.  But it's worth it. If you leave hungry,  it's your fault. 
I'm not a drinker anymore so I can't comment on that."
331,"The wings, Cuban sandwich, barbeque, and burgers are what's up. Obviously the burnt ends. This place knows good food."
332,"Love, love, love this place! There is usually a wait but the food is worth the way. I have eaten here several times and have yet to get something I didn't like. The burnt ends and smoked polish sausage are my faves. The also have...More"
333,"Hands-down my favorite barbecue restaurant! Tender, juicy smoky delicious meat... Perfection!  All the sides are delicious!  The service is great!   Try the Burnt Ends!  But get there early because there's always a line!"
334,a Unique place with great smoked meat and sides and a range of sauces at a reasonable price. its always busy so expect a bit of a wait for eat in. my favorite side is the twice baked potatoes and my fave sauce is the...More
335,"I don´t have much to add. Everything is delicious! From the sandwiches to the fries, daily specials are great, love the chipotle potato salad as a side. Just great, totally worth the wait. Just chill and have a beer in preparation for a good meal."
336,"Best BBQ in the area, service was also great. Rib tips and brisket were awesome and the Texas caviar was great appetizer. Great beer list as well"
337,I love Black Dog.  The food is amazing.  The servers are excellent. But I've about given up on going here.  The set up is just awful.  There's always a line and there's not enough space for people who are waiting.  So you're constantly getting bumped...More
338,"We've been trying to visit this restaurant for years but the lines were always too long and we didn't want to wait. On a quiet Sunday, early afternoon, there were only a few people waiting and so we decided to finally give it a try....More"
339,"Small BBQ place in Urbana. There's always a line, so go early (5) or late (8). I'm a vegetarian, but I still enjoy it here! There are a few vegetarian options and so many excellent sides - coleslaw, fries, potato salad, etc. are all awesome....More"
340,"Recently ate at the Black Dog while in town.  Summary:

GENERAL:  As many of the reviews have said, the place was very busy and and upon arrival a fairly large group of people were waiting out front.  We decided to give it a go, even...More"
341,"We were a little early. I chose rib tips and my wife ordered burnt ends at 5 pm. I also tried Stone Imperial Mutt Brown Ale, which was Excellent.  The meats were out of this world. Smokey , a little crispy outer, tender inside. We...More"
342,"By far one of my favorite places to eat in Champaign-Urbana. I have never had any food there that I have not liked. They also have a pretty good craft beer menu as well. It is in a small building, so the only draw back...More"
343,The main thing to know is that burn and run out early. Try going right at opening at 11 a.m. and don't be late or you will be in a line out the door. My guess is that if they opened up another location they...More
344,Yum; Yum; Yum!  My favorite is the pulled pork with ginger peach bbq sauce and sweet potato fries. Yum!
345,"Small place and gets full quickly. Smells good on the inside. The menu says that the burnt ends go fast, so I figured that they must be popular and ordered it. 
When it arrived, I was disappointed with the portion size. I was also disappointed...More"
346,Black Dog is incomparable. Everything is made in-house and is delicious. The service is quick and friendly and the bar list is broad. The only problem: the Urbana restaurant is tiny and one often has to wait for a seat. In good news: Black Dog...More
347,"We have been on a 5,000 mile BBQ Quest for a month now. We feel their 'Cue to be one of the best we tried. We had two of the 3-meat plates, and that included pulled pork, chicken, salmon, brisket, ""burnt ends"" (which is a...More"
348,"The lines may be long if you get there at peak times, but the wait is so worth it! The ribs and pulled pork sandwiches are the best. Beer selection great, friendly and unique servers."
349,"Enjoyed a delicious late night dinner last night of brisket, baked beans, and slaw! My vegetarian hubby had the hummus sandwich and the spicy potato salad. He loved it! Wait staff were great!"
350,"I have been in champaign-Urbans lately more often than not and every time I'm here I make sure I stop here. The wait on a good day is about 30 minutes, and it's always worth it. Besides the amazing smokehouse food they even have a...More"
351,"If you love good Barbecue, you must try Black Dog. This Friendly Community Restaurant is well worth the wait. I highly recommend ""Burnt Ends"" combined with any one or two other meats, but go early as they run out. Choose the ""flight"" of barbecue sauces...More"
352,"This restaurant has a great selection of beers and all kinds of different barbecue sauce of varying levels of spice.  I had the smoked salmon, spicy mustard type barbecue sauce, a porter and spicy Southwestern potato salad.  I'm not a big fan of potato salad,...More"
353,"fantastic bbq, corn bread, excellent service. if you want to eat burnt ends make sure you get there at 11:00 am or you will wait in a long line. best restaurant in champaign!"
354,"When we got to this restaurant, we saw that there was a wait.  It was after I had just finished the Illinois Marathon in Champaign, we were thinking of going somewhere else.  But the smell of barbecue just was too much to pass up.  We...More"
355,"Food was great, liked the variety of the bbq sauces. Loved the chipotle cole slaw! Go there and be prepared to wait, but it's worth the wait."
356,We had over an hour wait at 3:00 in the afternoon on a Saturday. The small amount of meat for the price we paid was ridiculous. Maybe the cooks were having a bad day. The cole slaw was horrible. It had no flavor at all...More
357,"The wait was worth it! The food here is great! I had the ribs and twice baked potato casserole. I also tried a bite of my husbands meatloaf. All was delicious-yes, even the meatloaf!!"
358,I had the last piece of duck as a platter and got to pick my sides. Loved the baked potato casserole in the tin that someone else panned in a different review. Picked 2 BBQ sauces to sample- Georgia peach and the mustard one. Both...More
359,"This is a case of arriving in a town and not knowing where to eat, getting little help from the hotel desk, and turning instead to TripAdvisor.  We were staying in Champaign and probably would not have ventured over to Urbana for a meal, and...More"
360,good food and brew. Usually a line whenever we go to eat but long line worth the wait. Burnt ends - a must.
361,"I am ready for the new location to be opened because the wait is annoying, but still worth it. When I Can I will eat here because the quality of food is the best. Small place with a big taste, if I am not driving...More"
362,"went for lunch and BLack ENDS.
They were great. The sauce added to the meal and potatoes were outstanding. Looking forward to their second location. I would definitely return."
363,"Such good food, and a pretty nice atmosphere. The wait staff is friendly and helpful. Not good for vegans and vegetarians, though."
364,"I came here at the recommendation of friends and TripAdvisor.  The barbecue was okay but not great.  There were some good flavors, but the meat (pulled pork and brisket) were super fatty.  The restaurant was cramped, but not crowded at the off-hour I went.  I...More"
365,"After trying several times to get into ""Black Dog"" and being discouraged by the long wait,we finally made it in! Decided to go for a very late lunch & still had to wait 20 minutes.(Let me tell you,it smells so good in there,we could hardly...More"
366,"This is my favorite place in Champaign-Urbana to go to. I'm
A vegetarian and I still love it. Their vegetarian options are limited but holy moly are they tasty. I take all visiting friends and family members here just as an excuse to go. Best...More"
367,"As a Southerner in a new city far away from home, when I got the smell of barbecue on my walk around Urbana.... I got excited. It was my first evening in the town and I was walking around exploring and literally smelled the food...More"
368,This place has amazing BBQ and is nationally renowned. Can't wait until they open their second location closer to my work.
369,Black Dog not only has great barbeque but almost everything they serve is locally sourced and all natural. A little pricey but very good.
